session_length,total_rewards,reward_rate,correct_port_rate,action_bias,alpha,beta,bias,c_preva,best_loss,Mouse_ID,Gene,Sex
351,189,0.538461538,0.683760684,-0.133903134,0.596195042,1.01006484,-0.450473756,0.768288195,0.531333467,MYT1L_001_10_44,MYT1L,M
253,152,0.600790514,0.679841897,0.130434783,1,0.778961897,0.415849417,0.893753231,0.549986587,MYT1L_001_12_45,MYT1L,M
230,132,0.573913043,0.656521739,0.060869565,,,,,,MYT1L_001_12_48,MYT1L,F
381,193,0.50656168,0.603674541,-0.007874016,1,0.599943101,0.017493531,1,0.609034581,MYT1L_001_1_1,MYT1L,F
256,160,0.625,0.6875,0.1796875,0.422334611,1.330584764,0.417275161,0.20618099,0.565783024,MYT1L_001_1_3,MYT1L,M
301,192,0.637873754,0.687707641,0.043189369,0.809747279,0.902662396,0.194997862,0.604849756,0.558696709,MYT1L_001_1_4,MYT1L,F
241,175,0.726141079,0.738589212,0.10373444,1,0.959268153,0.194983914,0.61622256,0.520402014,MYT1L_001_2_6,MYT1L,F
281,161,0.572953737,0.68683274,-0.046263345,,,,,,MYT1L_001_2_9,MYT1L,M
293,176,0.600682594,0.624573379,-0.133105802,0.264983505,0.950938761,-0.252761513,0.999845505,0.510580069,MYT1L_001_3_19,MYT1L,M
294,166,0.56462585,0.629251701,0.06122449,,,,,,MYT1L_001_5_22,MYT1L,M
271,159,0.586715867,0.667896679,-0.003690037,,,,,,MYT1L_001_5_23,MYT1L,F
303,175,0.577557756,0.650165017,0.00330033,,,,,,MYT1L_001_5_26,MYT1L,M
314,162,0.515923567,0.585987261,-0.01910828,,,,,,MYT1L_001_5_27,MYT1L,F
341,202,0.592375367,0.674486804,-0.020527859,0.369792432,0.907796621,-0.089352094,1,0.529837958,MYT1L_001_7_30,MYT1L,M
342,207,0.605263158,0.666666667,-0.14619883,0.541704476,1.34423399,-0.403566927,0.836732149,0.422204358,MYT1L_001_7_32,MYT1L,F
394,210,0.532994924,0.611675127,0.14213198,,,,,,MYT1L_001_8_34,MYT1L,M
361,178,0.493074792,0.570637119,-0.069252078,0.00111206,13.78873539,-0.011392489,0.034828871,0.660744876,MYT1L_001_8_36,MYT1L,M
270,174,0.644444444,0.737037037,-0.059259259,0.576564312,1.143996,-0.204891175,0.679755032,0.493743049,MYT1L_001_8_41,MYT1L,F
308,179,0.581168831,0.694805195,-0.071428571,0.689930558,0.83561033,-0.299668312,0.767346144,0.57539764,MYT1L_001_9_11,MYT1L,F
328,200,0.609756098,0.661585366,-0.12195122,1,0.775182188,-0.306444198,0.529060245,0.597163038,NF1_003_140_12,NF1,F
311,183,0.588424437,0.662379421,-0.099678457,1,0.806673348,-0.34142676,1,0.540551189,NF1_003_140_15,NF1,F
308,181,0.587662338,0.655844156,0.071428571,,,,,,NF1_003_140_8,NF1,F
234,136,0.581196581,0.705128205,0.042735043,1,1.03815043,0.145156056,0.341207176,0.567025861,NF1_003_141_19,NF1,F
308,219,0.711038961,0.733766234,-0.012987013,0,5.264455318,-0.001986127,0.257176667,0.508136749,NF1_003_141_23,NF1,M
327,195,0.596330275,0.608562691,0.119266055,0.01198205,3.987000227,0.074188724,0.101293065,0.653418305,NF1_003_142_55,NF1,M
215,150,0.697674419,0.753488372,0.088372093,0.92978543,1.275312781,0.311977983,0.342427313,0.505830987,NF1_003_144_26,NF1,M
284,201,0.707746479,0.73943662,0.112676056,0.715054929,1.080307245,0.286303192,1,0.434552797,NF1_003_144_28,NF1,M
270,229,0.848148148,0.866666667,0.022222222,,,,,,NF1_003_145_34,NF1,M
268,152,0.567164179,0.686567164,-0.082089552,0.524309814,1.363771439,-0.211245134,0.289177835,0.551518454,NF1_003_146_42,NF1,F
261,190,0.727969349,0.789272031,-0.049808429,1,1.112772346,-0.248146564,1,0.419368466,NF1_003_146_46,NF1,M
289,177,0.612456747,0.626297578,0.031141869,,,,,,NF1_003_146_50,NF1,M
360,203,0.563888889,0.616666667,0.011111111,0,11.54248428,0.001355366,0.050083093,0.653115802,NF1_003_147_2,NF1,F
