session_length,total_rewards,reward_rate,correct_port_rate,action_bias,alpha,beta,bias,c_preva,lapse,best_loss,Mouse_ID,Gene,Sex
298,175,0.587248322,0.647651007,0.020134228,0.381805122,1.905464888,0.150551617,0.696258664,0.383734673,0.585580608,FMR1_007_214_98,FMR1,M
248,185,0.745967742,0.774193548,-0.048387097,0.786398768,1.879312396,-0.244979978,0.947418332,0.19740665,0.443482307,DNMT3A_002_19_45,DNMT3A,M
281,185,0.658362989,0.740213523,0.181494662,0.949235797,1.818632841,0.665705025,0.739660442,0.148073152,0.445051879,ChowHFD_671,C57B6/J,M
284,154,0.542253521,0.64084507,-0.281690141,0.508543134,1.724991441,-0.678008556,0.939082384,0.098191746,0.392847061,CDKL5_005_275_28,CDKL5,M
275,183,0.665454545,0.716363636,0.090909091,1,1.698193669,0.467252046,1,0.247737408,0.500463201,CNTNAP2_008_247_49,CNTNAP2,M
215,146,0.679069767,0.730232558,0.069767442,1,1.646175861,0.423368484,0.981552064,0.200596645,0.467623121,FMR1_007_213_39,FMR1,M
218,145,0.665137615,0.69266055,0.04587156,0.387767136,1.591522932,-0.01787433,0.355528295,0,0.481343996,CNTNAP2_008_245_99,CNTNAP2,M
325,149,0.458461538,0.547692308,0.181538462,0.197470099,1.58859694,0.533838868,0.549308836,0.40549171,0.626332444,DNMT3A_002_26_56,DNMT3A,F
192,143,0.744791667,0.765625,0.020833333,0.638344407,1.537774324,-0.001323741,0.478788346,0,0.411052227,CDKL5_005_179_20,CDKL5,F
301,192,0.637873754,0.687707641,0.043189369,1,1.519086599,0.251286477,0.65840441,0.288466394,0.558389556,MYT1L_001_1_4,MYT1L,F
302,203,0.67218543,0.688741722,0,0.743148148,1.511695981,-0.025191436,0.871135771,0.33867088,0.569748531,CNTNAP2_008_242_53,CNTNAP2,M
235,170,0.723404255,0.795744681,0.004255319,0.765218616,1.481450558,0.112224214,0.514241219,0,0.424568436,DNMT3A_002_19_53,DNMT3A,F
256,147,0.57421875,0.63671875,-0.0546875,0.200708196,1.477544785,-0.172353402,0.335766435,0,0.554364443,WAC_006_201_83,WAC,F
288,173,0.600694444,0.690972222,0.048611111,0.916644216,1.458092213,0.239545316,0.755440295,0.314446092,0.573967722,ChowHFD_183,C57B6/J,M
342,207,0.605263158,0.666666667,-0.14619883,0.539519072,1.456479311,-0.414223403,0.817427874,0.030551629,0.422187002,MYT1L_001_7_32,MYT1L,F
276,163,0.59057971,0.612318841,-0.188405797,0.669980824,1.42457509,-0.657925069,0.628715813,0.225845352,0.55588631,WAC_006_199_95,WAC,F
339,225,0.663716814,0.719764012,0.156342183,0.986172259,1.346164465,0.422094256,0.688607216,0,0.419513038,ChowHFD_187,C57B6/J,M
252,187,0.742063492,0.781746032,-0.047619048,0.804355025,1.332966566,-0.129268244,0.796065152,0,0.380086929,WAC_006_198_77,WAC,M
277,188,0.678700361,0.722021661,-0.176895307,0.758541644,1.320273399,-0.45774582,0.939515829,0,0.371406748,FMR1_007_210_79,FMR1,M
