filename,Mouse_ID,Session_type,Sex,PeakAccuracy
CNTNAP2_008_342_40_Bandit80_20251124.csv,CNTNAP2_008_342_40,Bandit80,M,0.866666667
CNTNAP2_008_352_55_Bandit80_20251124.csv,CNTNAP2_008_352_55,Bandit80,F,0.642857143
CNTNAP2_008_352_58_Bandit80_20251124.csv,CNTNAP2_008_352_58,Bandit80,F,0.757142857
ChowHFD_177_Bandit80_20250728.csv,ChowHFD_177,Bandit80,M,0.733333333
ChowHFD_182_Bandit80_20250728.csv,ChowHFD_182,Bandit80,M,0.7125
ChowHFD_183_Bandit80_20250728.csv,ChowHFD_183,Bandit80,M,0.6
ChowHFD_184_Bandit80_20250728.csv,ChowHFD_184,Bandit80,M,0.8
ChowHFD_185_Bandit80_20250728.csv,ChowHFD_185,Bandit80,M,0.7
ChowHFD_186_Bandit80_20250728.csv,ChowHFD_186,Bandit80,M,0.7625
ChowHFD_187_Bandit80_20250728.csv,ChowHFD_187,Bandit80,M,0.77
ChowHFD_189_Bandit80_20250728.csv,ChowHFD_189,Bandit80,M,0.7625
ChowHFD_190_Bandit80_20250728.csv,ChowHFD_190,Bandit80,M,0.671428571
ChowHFD_670_Bandit80_20250728.csv,ChowHFD_670,Bandit80,M,0.7625
ChowHFD_671_Bandit80_20250728.csv,ChowHFD_671,Bandit80,M,0.822222222
ChowHFD_672_Bandit80_20250728.csv,ChowHFD_672,Bandit80,M,0.73
ChowHFD_674_Bandit80_20250728.csv,ChowHFD_674,Bandit80,M,0.7
DNMT3a_002_19_45_Bandit80_20250505.csv,DNMT3A_002_19_45,Bandit80,M,0.6625
DNMT3a_002_19_47_Bandit80_20250505.csv,DNMT3A_002_19_47,Bandit80,F,0.7125
DNMT3a_002_19_49_Bandit80_20250505.csv,DNMT3A_002_19_49,Bandit80,F,0.671428571
DNMT3a_002_19_53_Bandit80_20250505.csv,DNMT3A_002_19_53,Bandit80,F,0.725
DNMT3a_002_22_11_Bandit80_20250407.csv,DNMT3A_002_22_11,Bandit80,F,0.755555556
DNMT3a_002_22_12_Bandit80_20250407.csv,DNMT3A_002_22_12,Bandit80,M,0.76
DNMT3a_002_22_9_Bandit80_20250404.csv,DNMT3A_002_22_9,Bandit80,F,0.775
DNMT3a_002_23_5_Bandit80_20250407.csv,DNMT3A_002_23_5,Bandit80,F,0.75
DNMT3a_002_24_2_Bandit80_20250407.csv,DNMT3A_002_24_2,Bandit80,F,0.742857143
DNMT3a_002_25_24_Bandit80_20250407.csv,DNMT3A_002_25_24,Bandit80,M,0.733333333
DNMT3a_002_25_29_Bandit80_20250407.csv,DNMT3A_002_25_29,Bandit80,M,0.7625
DNMT3a_002_26_55_Bandit80_20250505.csv,DNMT3A_002_26_55,Bandit80,F,0.675
DNMT3a_002_26_56_Bandit80_20250505.csv,DNMT3A_002_26_56,Bandit80,F,0.657142857
DNMT3a_002_26_59_Bandit80_20250505.csv,DNMT3A_002_26_59,Bandit80,M,0.833333333
DNMT3a_002_27_40_Bandit80_20250505.csv,DNMT3A_002_27_40,Bandit80,M,0.675
DNMT3a_002_28_31_Bandit80_20250505.csv,DNMT3A_002_28_31,Bandit80,M,0.6
FMR1_007_207_61_Bandit80_20251110.csv,FMR1_007_207_61,Bandit80,F,0.611111111
FMR1_007_210_79_Bandit80_20251110.csv,FMR1_007_210_79,Bandit80,M,0.833333333
FMR1_007_211_81_Bandit80_20251110.csv,FMR1_007_211_81,Bandit80,F,0.728571429
FMR1_007_211_83_Bandit80_20251110.csv,FMR1_007_211_83,Bandit80,F,0.7
FMR1_007_213_39_Bandit80_20251110.csv,FMR1_007_213_39,Bandit80,M,0.855555556
FMR1_007_213_40_Bandit80_20251110.csv,FMR1_007_213_40,Bandit80,F,0.6625
FMR1_007_214_94_Bandit80_20251110.csv,FMR1_007_214_94,Bandit80,M,0.62
FMR1_007_214_98_Bandit80_20251110.csv,FMR1_007_214_98,Bandit80,M,0.7
FMR1_007_218_77_Bandit80_20251110.csv,FMR1_007_218_77,Bandit80,M,0.685714286
FMR1_007_221_47_Bandit80_20251110.csv,FMR1_007_221_47,Bandit80,M,0.771428571
FMR1_007_221_51_Bandit80_20251110.csv,FMR1_007_221_51,Bandit80,M,0.628571429
FMR1_007_307_40_Bandit80_20251110.csv,FMR1_007_307_40,Bandit80,F,0.666666667
MYT1L_001_10_42_Bandit80_20250310.csv,MYT1L_001_10_42,Bandit80,F,0.81
MYT1L_001_10_44_Bandit80_20250310.csv,MYT1L_001_10_44,Bandit80,M,0.716666667
MYT1L_001_12_45_Bandit80_20250310.csv,MYT1L_001_12_45,Bandit80,M,0.6125
MYT1L_001_12_48_Bandit80_20250310.csv,MYT1L_001_12_48,Bandit80,F,0.7
MYT1L_001_1_1_Bandit80_20250310.csv,MYT1L_001_1_1,Bandit80,F,0.75
MYT1L_001_1_3_Bandit80_20250310.csv,MYT1L_001_1_3,Bandit80,M,0.7
MYT1L_001_1_4_Bandit80_20250310.csv,MYT1L_001_1_4,Bandit80,F,0.8
MYT1L_001_2_6_Bandit80_20250310.csv,MYT1L_001_2_6,Bandit80,F,0.722222222
