filename,PeakAccuracy,TotalAccuracy,Total_pellets,Total_pokes,PokesPerPellet,RetrievalTime,PokeTime,Win-stay,Win-shift,Lose-shift,Lose-stay,daily pellets,PeakAccuracy_Day,PeakAccuracy_Night,Win-stay_Day,Win-stay_Night,Lose-shift_Day,Lose-shift_Night,Session_type,Mouse_ID,Sex
CNTNAP2_008_244_35_Bandit80_20251124.csv,70.0,51.46771037181996,262,511.0,1.950381679389313,0.5800000000000001,0.19,0.8071065989847716,0.19289340101522842,0.3191489361702128,0.6808510638297872,132.2438717787555,50.0,68.57142857142856,0.68,0.8852459016393442,0.2727272727272727,0.36,Bandit80,CNTNAP2_008_244_35,M
CNTNAP2_008_245_99_Bandit80_20251124.csv,64.54545454545453,46.33663366336634,239,506.0,2.1171548117154813,0.73,0.21,0.7797619047619048,0.22023809523809523,0.4090909090909091,0.5909090909090909,119.94284453015183,48.0,74.28571428571429,0.8088235294117647,0.76,0.375,0.45,Bandit80,CNTNAP2_008_245_99,M
CNTNAP2_008_246_28_Bandit80_20251124.csv,65.71428571428571,56.80473372781065,284,507.0,1.7852112676056338,0.8200000000000001,0.16,0.7373737373737373,0.26262626262626265,0.46774193548387094,0.532258064516129,147.4872423679608,45.0,71.11111111111111,0.7424242424242424,0.7348484848484849,0.3333333333333333,0.59375,Bandit80,CNTNAP2_008_246_28,F
CNTNAP2_008_246_29_Bandit80_20251124.csv,72.35294117647058,58.599695585996955,361,656.0,1.817174515235457,0.42,0.2,0.9333333333333333,0.06666666666666667,0.42592592592592593,0.5740740740740741,181.59926406371903,64.28571428571428,75.0,0.9468085106382979,0.9267015706806283,0.5263157894736842,0.37142857142857144,Bandit80,CNTNAP2_008_246_29,M
CNTNAP2_008_247_49_Bandit80_20251124.csv,79.44444444444446,60.334346504559264,370,659.0,1.781081081081081,0.67,0.18,0.9686520376175548,0.03134796238244514,0.27419354838709675,0.7258064516129032,187.58912067599684,88.75,69.0909090909091,0.9776119402985075,0.9621621621621622,0.4,0.23404255319148937,Bandit80,CNTNAP2_008_247_49,M
CNTNAP2_008_247_51_Bandit80_20251124.csv,71.25,63.73429084380611,338,556.0,1.6449704142011834,0.73,0.15,0.8669064748201439,0.13309352517985612,0.6206896551724138,0.3793103448275862,170.38238485863312,70.0,70.0,0.8725490196078431,0.8636363636363636,0.631578947368421,0.6153846153846154,Bandit80,CNTNAP2_008_247_51,M
CNTNAP2_008_248_45_Bandit80_20251124.csv,63.88888888888889,55.833333333333336,376,719.0,1.9122340425531914,0.91,0.1,0.7833333333333333,0.21666666666666667,0.5392156862745098,0.46078431372549017,188.5981004574693,66.25,57.49999999999999,0.7226890756302521,0.8232044198895028,0.5102040816326531,0.5660377358490566,Bandit80,CNTNAP2_008_248_45,F
CNTNAP2_008_248_46_Bandit80_20251124.csv,68.82352941176471,61.50306748466258,365,654.0,1.7917808219178082,1.1,0.13,0.8315018315018315,0.1684981684981685,0.5106382978723404,0.48936170212765956,183.29874976023996,72.85714285714285,71.81818181818183,0.8181818181818182,0.8421052631578947,0.5,0.5172413793103449,Bandit80,CNTNAP2_008_248_46,F
CNTNAP2_008_248_48_Bandit80_20251124.csv,81.76470588235294,60.85526315789473,363,609.0,1.677685950413223,0.67,0.11,0.882943143812709,0.11705685618729098,0.3888888888888889,0.6111111111111112,187.23068932786504,80.0,80.90909090909092,0.8319327731092437,0.9162011173184358,0.4666666666666667,0.3333333333333333,Bandit80,CNTNAP2_008_248_48,F
CNTNAP2_008_342_40_Bandit80_20251124.csv,75.45454545454547,61.771561771561764,236,431.0,1.826271186440678,0.79,0.13,0.8631578947368421,0.1368421052631579,0.41025641025641024,0.5897435897435898,123.0034203811282,74.0,75.71428571428571,0.8765432098765432,0.8532110091743119,0.45,0.3684210526315789,Bandit80,CNTNAP2_008_342_40,M
CNTNAP2_008_352_55_Bandit80_20251124.csv,64.28571428571428,61.44144144144145,303,554.0,1.8283828382838283,0.55,0.15,0.825531914893617,0.17446808510638298,0.5274725274725275,0.4725274725274725,152.30028157214997,75.0,63.33333333333334,0.8555555555555555,0.8125,0.4857142857142857,0.5535714285714286,Bandit80,CNTNAP2_008_352_55,F
CNTNAP2_008_352_58_Bandit80_20251124.csv,75.0,64.28571428571429,335,575.0,1.7164179104477613,0.85,0.15,0.8416988416988417,0.1583011583011583,0.5172413793103449,0.4827586206896552,168.83538340748495,80.0,72.0,0.8764044943820225,0.8224852071005917,0.4444444444444444,0.55,Bandit80,CNTNAP2_008_352_58,F
ChowHFD_177_Bandit80_20250728.csv,73.88888888888889,60.117302052785924,377,682.0,1.8090185676392574,0.66,0.18,0.9233333333333333,0.07666666666666666,0.423728813559322,0.576271186440678,187.24519711654537,64.99999999999999,78.46153846153847,0.9175257731958762,0.9261083743842364,0.34782608695652173,0.4722222222222222,Bandit80,ChowHFD_177,M
ChowHFD_182_Bandit80_20250728.csv,67.05882352941177,55.742725880551305,360,654.0,1.8166666666666667,0.66,0.14,0.8421052631578947,0.15789473684210525,0.509090909090909,0.4909090909090909,175.7437070938215,67.77777777777779,61.00000000000001,0.9368421052631579,0.7828947368421053,0.7058823529411765,0.42105263157894735,Bandit80,ChowHFD_182,M
ChowHFD_183_Bandit80_20250728.csv,68.23529411764706,56.58682634730538,351,672.0,1.9145299145299146,0.66,0.24,0.9197080291970803,0.08029197080291971,0.4264705882352941,0.5735294117647058,170.60402004961776,71.1111111111111,60.0,0.9203539823008849,0.91875,0.5161290322580645,0.35135135135135137,Bandit80,ChowHFD_183,M
ChowHFD_184_Bandit80_20250728.csv,79.00000000000001,65.55716353111433,408,692.0,1.696078431372549,0.66,0.22,0.9394812680115274,0.06051873198847262,0.5740740740740741,0.42592592592592593,199.87782529016494,80.0,74.28571428571428,0.9416666666666667,0.9383259911894273,0.8125,0.47368421052631576,Bandit80,ChowHFD_184,M
ChowHFD_185_Bandit80_20250728.csv,74.21052631578948,61.98581560283688,389,705.0,1.8123393316195373,0.66,0.13,0.9198813056379822,0.08011869436201781,0.4583333333333333,0.5416666666666666,189.7414817359183,70.0,73.33333333333333,0.8527131782945736,0.9615384615384616,0.45,0.4642857142857143,Bandit80,ChowHFD_185,M
ChowHFD_186_Bandit80_20250728.csv,77.77777777777779,70.79037800687286,370,581.0,1.5702702702702702,0.66,0.13,0.9417808219178082,0.05821917808219178,0.48484848484848486,0.5151515151515151,180.6346623270952,78.33333333333333,71.42857142857142,0.8764044943820225,0.9704433497536946,0.45454545454545453,0.5,Bandit80,ChowHFD_186,M
ChowHFD_187_Bandit80_20250728.csv,74.99999999999999,62.03966005665722,417,707.0,1.6954436450839327,0.66,0.14,0.8700564971751412,0.12994350282485875,0.4915254237288136,0.5084745762711864,207.1811699375276,65.0,78.57142857142857,0.8508771929824561,0.8823529411764706,0.5,0.48484848484848486,Bandit80,ChowHFD_187,M
ChowHFD_189_Bandit80_20250728.csv,77.64705882352942,60.09615384615385,354,623.0,1.7598870056497176,0.66,0.08,0.9285714285714286,0.07142857142857142,0.5116279069767442,0.4883720930232558,173.64621960540094,64.28571428571428,81.81818181818181,0.90625,0.9402173913043478,0.5555555555555556,0.5,Bandit80,ChowHFD_189,M
ChowHFD_190_Bandit80_20250728.csv,69.23076923076923,64.38053097345133,280,451.0,1.6107142857142858,0.66,0.15,0.9556451612903226,0.04435483870967742,0.37037037037037035,0.6296296296296297,136.02550478214664,76.0,68.88888888888889,0.9242424242424242,0.967032967032967,0.0,0.45454545454545453,Bandit80,ChowHFD_190,M
ChowHFD_670_Bandit80_20250728.csv,72.94117647058823,52.32876712328767,356,729.0,2.047752808988764,0.66,0.18,0.8907849829351536,0.10921501706484642,0.46835443037974683,0.5316455696202531,178.5041320400935,85.71428571428571,69.0909090909091,0.8543689320388349,0.9105263157894737,0.42857142857142855,0.4827586206896552,Bandit80,ChowHFD_670,M
ChowHFD_671_Bandit80_20250728.csv,76.31578947368422,65.51724137931035,398,695.0,1.7462311557788945,0.66,0.1,0.9529780564263323,0.047021943573667714,0.5849056603773585,0.41509433962264153,196.898834199858,75.7142857142857,78.33333333333334,0.957983193277311,0.949748743718593,0.6190476190476191,0.5483870967741935,Bandit80,ChowHFD_671,M
ChowHFD_672_Bandit80_20250728.csv,67.36842105263158,64.96913580246914,384,651.0,1.6953125,0.66,0.13,0.8921933085501859,0.10780669144981413,0.5606060606060606,0.4393939393939394,191.5665363673632,58.57142857142856,67.6923076923077,0.9102564102564102,0.8848167539267016,0.5263157894736842,0.574468085106383,Bandit80,ChowHFD_672,M
ChowHFD_674_Bandit80_20250728.csv,69.54545454545456,57.83274440518257,456,849.0,1.861842105263158,0.66,0.21,0.8769230769230769,0.12307692307692308,0.42857142857142855,0.5714285714285714,222.2746275056276,69.0,69.28571428571428,0.8278688524590164,0.9064039408866995,0.42857142857142855,0.42857142857142855,Bandit80,ChowHFD_674,M
