,session_length,total_rewards,reward_rate,correct_port_rate,action_bias,alpha,beta,bias,lapse,best_loss,Session_type,Mouse_ID,Gene,Sex,Genotype
27,646,402,0.6222910216718266,0.69504644,0.040247678,0.9634808897972107,16.140230178833008,0.009939235,0.4143899083137512,0.549342956,Bandit100,DNMT3a_002_22_12,DNMT3a,m,Wt
28,611,363,0.5941080196399345,0.6497545008183306,0.12929623567921444,1,16.82917594909668,-0.478589833,0.693858802,0.645546322,Bandit100,DNMT3a_002_23_5,DNMT3a,f,Wt
29,839,468,0.5578069129916567,0.6245530393325387,-0.041716329,0.779508114,12.562483787536621,-0.137415573,0.686928928,0.6472349837511174,Bandit100,DNMT3a_002_24_2,DNMT3a,f,Wt
30,832,471,0.5661057692307693,0.6610576923076923,0.1923076923076923,0.7278027534484863,18.622907638549805,0.3340222239494324,0.6093508005142212,0.6184233885544997,Bandit100,DNMT3a_002_25_24,DNMT3a,m,Wt
31,742,448,0.6037735849056604,0.6266846361185984,0.053908356,0.7172341346740723,2.595273971557617,0.3256968557834625,0.5717265605926514,0.64247119,Bandit100,DNMT3a_002_25_27,DNMT3a,m,Wt
32,792,474,0.5984848484848485,0.6818181818181818,0.007575758,0.47779151797294617,11.690110206604004,0.1910117119550705,0.5370786786079407,0.5906476107510653,Bandit100,DNMT3a_002_25_29,DNMT3a,m,Wt
33,651,394,0.6052227342549923,0.6374807987711214,0.019969278033794113,1,12.125007629394531,0.065656111,0.5848991870880127,0.6185400709395401,Bandit100,DNMT3a_002_26_55,DNMT3a,f,Wt
34,957,449,0.46917450365726227,0.5663531870428422,0.034482758620689724,0.4312991201877594,9.899366379,0.027995663,0.8203937411308289,0.6785887396323145,Bandit100,DNMT3a_002_26_56,DNMT3a,f,Wt
35,547,323,0.5904936014625228,0.6709323583180987,0.038391225,1,6.541347026824951,0.036624745,0.5087421536445618,0.6028838497629113,Bandit100,DNMT3a_002_26_59,DNMT3a,m,Wt
36,683,400,0.5856515373352855,0.6222547584187409,-0.130307467,0.5344448089599609,1.406144618988037,-0.530864298,0.28032687306404114,0.6255498525862463,Bandit100,DNMT3a_002_27_40,DNMT3a,m,Wt
37,727,432,0.594222834,0.6602475928473177,-0.078404402,0.6604986786842346,7.5080952644348145,-0.212997586,0.6077887415885925,0.6237529770380201,Bandit100,DNMT3a_002_28_30,DNMT3a,f,Wt
38,719,464,0.6453407510431154,0.6634214186369958,0.02364395,0.9259827136993408,10.665802955627441,-0.033377305,0.6345691084861755,0.630019229,Bandit100,DNMT3a_002_28_31,DNMT3a,m,Wt
39,774,472,0.6098191214470284,0.6602067183462532,0.14470284237726094,0.6033793687820435,2.856916666030884,0.5893751382827759,0.42208075523376465,0.6094285043327076,Bandit100,,,,
40,1184,479,0.4045608108108108,0.5,0.030405405405405483,0.009129062,8.336911201,0.044937272,0.32872405648231506,0.676034876,Bandit100,MYT1L_001_1_1,MYT1L,f,Wt
41,914,497,0.5437636761487965,0.6269146608315098,0.050328228,0.9836036562919617,14.713065147399902,0.013680525124073029,0.6712453365325928,0.6493263161156319,Bandit100,MYT1L_001_1_3,MYT1L,m,Wt
42,956,513,0.5366108786610879,0.6276150627615062,0.046025104602510414,0.8504257798194885,17.976655960083008,0.7426655292510986,0.6806296110153198,0.6438009349870881,Bandit100,MYT1L_001_1_4,MYT1L,f,Wt
43,941,538,0.5717321997874601,0.6556854410201913,0.037194473963868324,0.8678090572357178,19.396032333374023,0.10424775630235672,0.5733585357666016,0.6081043531233395,Bandit100,MYT1L_001_2_6,MYT1L,f,Wt
44,946,463,0.4894291754756871,0.6173361522198731,-0.071881607,0.8641064763069153,15.728917121887207,-0.119828381,0.6591365933418274,0.6431913154069767,Bandit100,MYT1L_001_2_9,MYT1L,m,Wt
45,970,511,0.5268041237113402,0.5793814432989691,-0.070103093,0.24085304141044617,14.059619903564453,-0.278804123,0.6011039018630981,0.6193546885067654,Bandit100,MYT1L_001_3_19,MYT1L,m,Wt
46,938,489,0.5213219616204691,0.6012793176972282,0.087420043,0.5464737415313721,12.094647407531738,0.1801445186138153,0.686885417,0.6467067824243736,Bandit100,MYT1L_001_5_22,MYT1L,m,Wt
47,909,487,0.5357535753575358,0.6193619361936193,0.012101210121012063,0.8668635487556458,11.109673500061035,-0.005818094,0.7202334403991699,0.659603845,Bandit100,MYT1L_001_5_23,MYT1L,f,Wt
48,1020,526,0.515686275,0.5833333333333334,-0.039215686,0.638493538,10.524884223937988,-0.213250056,0.8120853304862976,0.6767754049862132,Bandit100,MYT1L_001_5_26,MYT1L,m,Wt
49,968,434,0.44834710743801653,0.5599173553719008,0.016528925619834656,0.3308110237121582,3.3670589923858643,-0.011955328,0.7428928017616272,0.6747718369665224,Bandit100,MYT1L_001_5_27,MYT1L,f,Wt
50,1042,608,0.5834932821497121,0.6602687140115163,-0.042226488,0.480493963,10.167558670043945,-0.16035147,0.6299265027046204,0.6286084546695058,Bandit100,MYT1L_001_7_30,MYT1L,m,Wt
51,984,523,0.5315040650406504,0.6046747967479674,-0.085365854,0.9117597937583923,9.238694190979004,0.025995269417762756,0.6294028759002686,0.6377212400358867,Bandit100,MYT1L_001_7_32,MYT1L,f,Wt
52,1076,492,0.45724907063197023,0.5678438661710037,0.1003717472118959,0.29432952404022217,4.392204761505127,0.5156557559967041,0.6809663772583008,0.6628834323812152,Bandit100,MYT1L_001_8_34,MYT1L,m,Wt
53,1160,522,0.45,0.5336206896551724,0.017241379,0.26990750432014465,20,0.20593790709972382,0.8381186723709106,0.6808121253704202,Bandit100,MYT1L_001_8_36,MYT1L,m,Wt
54,781,447,0.5723431498079385,0.6683738796414853,-0.057618438,0.8985711932182312,18.823392868041992,-0.817805827,0.5909464955329895,0.6180671174150728,Bandit100,MYT1L_001_8_41,MYT1L,f,Wt
55,1009,521,0.5163528245787908,0.6114965312190287,-0.008919722,0.29996657371520996,17.64584732055664,-0.466054291,0.6858867406845093,0.6481068576173811,Bandit100,MYT1L_001_9_11,MYT1L,f,Wt
56,947,520,0.5491024287222809,0.6166842661034847,-0.003167899,0.3147123157978058,3.51606822,0.020426672,0.6001171469688416,0.643832536,Bandit100,MYT1L_001_10_42,MYT1L,f,Wt
57,948,449,0.47362869198312235,0.5917721518987342,-0.139240506,0.37775886058807373,5.4921793937683105,-0.611006618,0.5868265628814697,0.641622423,Bandit100,MYT1L_001_10_44,MYT1L,m,Wt
58,889,462,0.5196850393700787,0.6119235095613048,0.16985376827896514,0.6814730167388916,17.722875595092773,0.28983014822006226,0.6479049921035767,0.6347328761028895,Bandit100,MYT1L_001_12_45,MYT1L,m,Wt
59,884,445,0.503393665,0.5667420814479638,0.022624434,0.36323603987693787,0.6583670377731323,0.05578753,0.19115658104419708,0.6735771489898543,Bandit100,MYT1L_001_12_48,MYT1L,f,Wt
60,927,586,0.6321467098166127,0.6526429341963322,-0.137001079,0.9964256882667542,6.3476152420043945,-0.889990628,0.5001638531684875,0.6260682798383562,Bandit,NF1Cohort1_222_6925-2,NF1Cohort1,f,Wt
61,1136,616,0.5422535211267606,0.5607394366197183,0.00528169,0.1565818339586258,19.012096405029297,0.4911615252494812,0.8053284883499146,0.6756316708846831,Bandit,NF1Cohort1_222_6928-14,NF1Cohort1,f,Wt
62,882,607,0.6882086167800453,0.6927437641723356,-0.063492063,0.41808661818504333,3.984337807,-0.380311012,0.46125683188438416,0.5855164819834183,Bandit,NF1Cohort1_222_6928-16,NF1Cohort1,m,Wt
63,1145,634,0.5537117903930131,0.5851528384279476,0.098689956,0.38402700424194336,6.561734676361084,0.7582370638847351,0.6962421536445618,0.663397137,Bandit,NF1Cohort1_222_6930-21,NF1Cohort1,f,Wt
64,1137,736,0.6473175021987687,0.7282321899736148,0.007915567,0.3636479377746582,2.1390020847320557,0.099225342,0.16293206810951233,0.5432619012649791,Bandit,NF1Cohort1_222_6931-32,NF1Cohort1,m,Wt
65,1033,593,0.574056147,0.5914811229428848,-0.026137464,0.21822133660316467,8.412864685058594,-0.32423386,0.6913082599639893,0.6514373808839545,Bandit,NF1Cohort1_222_6935-56,NF1Cohort1,f,Wt
66,920,606,0.658695652,0.6663043478260869,0.082608696,0.37432199716567993,3.5110385417938232,0.414127916,0.4220229983329773,0.5833192908245585,Bandit,NF1Cohort1_222_6935-59,NF1Cohort1,f,Wt
67,942,588,0.6242038216560509,0.6507430997876857,-0.040339703,0.3459014594554901,7.347875595092773,-0.27787587,0.5903404951095581,0.616394691,Bandit,NF1Cohort1_222_6935-61,NF1Cohort1,f,Wt
68,1350,691,0.5118518518518519,0.5303703703703704,0.063703704,0.029309513047337532,11.887024879455566,0.1518838256597519,0.8130301237106323,0.6830925835503472,Bandit,NF1Cohort1_222_6939-13,NF1Cohort1,f,Wt
69,840,469,0.5583333333333333,0.5797619047619048,0.033333333,0.2561067044734955,12.976865768432617,-0.518345535,0.8033410906791687,0.6756057739257812,Bandit,NF1Cohort1_222_6939-14,NF1Cohort1,f,Wt
70,898,512,0.5701559020044543,0.58908686,0.13363028953229406,0.1911499798297882,0.8957783579826355,0.5114662051200867,0,0.6380832051912235,Bandit,NF1Cohort1_222_6940-30,NF1Cohort1,f,Wt
71,1247,734,0.5886126704089816,0.5998396150761829,-0.053728949,0.4450870156288147,11.829217910766602,-0.038873993,0.7270864844322205,0.6568431227132618,Bandit,NF1Cohort1_222_6941-29,NF1Cohort1,f,Wt
72,1115,715,0.6412556053811659,0.6717488789237668,0.065470852,0.7982393503189087,2.6502368450164795,0.3991483151912689,0.46709758043289185,0.6060977131796524,Bandit,NF1Cohort1_222_6944-19,NF1Cohort1,m,Wt
73,741,467,0.6302294197031039,0.6639676113360324,-0.020242915,0.5604531764984131,14.728558540344238,-0.435385287,0.594390869,0.6129975724316802,Bandit,NF1Cohort1_222_6948-2,NF1Cohort1,m,Wt
74,936,560,0.5982905982905983,0.6367521367521367,0.019230769230769162,0.19125622510910034,12.479106903076172,0.1387348622083664,0.6281794905662537,0.6286603487454928,Bandit,NF1Cohort1_222_6949-10,NF1Cohort1,m,Wt
75,1007,502,0.4985104270109235,0.5213505461767627,0.17378351539225423,0.1541452556848526,6.5210394859313965,0.745827317,0.6631196141242981,0.6563730400865815,Bandit,NF1Cohort1_222_6952-23,NF1Cohort1,m,Wt
